MAIN_id,RA,DEC,SP_TYPE,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,2MASS_FLAG,A_K,W1,A_W1,W2,A_W2,F9,F9_FLAG,W3,A_W3,F18,F18_FLAG,W4,WISE_FLAG,A_W4,25,60,100,450,850,890,1300,2600,2700,,,,,,,,,,,
 lkh 259,23 58 41,+66 26 12,        A9e,     null ,8.1610293817200,16.629999,6.936137087540,14.67,5.2389971618700,     null ,3.9255584367800,     null ,2.5088155423000,11.278,1.4757738484100,0.494,0.92088288141000,9.725,000,0.56374561009400,8.867,0.27646163426900,8.345,0.17085218314800,0.090020,3,6.329,0.14281063531100,0.317800,3,3.065,HHd0 ,0.093198660384500,,,,,,,,,,,,,,,,,,,,
 lkh 324,21 03 54,+50 15 09,       B9Ve,     null ,5.9879789384900,13.79,5.089240689130,12.61,3.8440009460400,11.89,2.8802936666100,11.14,1.8407891854300,10.692,1.0828171679000,9.889,0.67567791277000,9.265,000,0.41363615813800,7.990,0.20284774945300,7.066,0.12535909704900,9.892000,3,3.197,0.10478421733800,10.260000,3,0.227,0hhh ,0.068382502914100,,,,,,,,,,,,,,,,,,,,
 lkh 339,06 10 57,-06 14 39,        A1e,     null ,3.9114975399900,14.44,3.324419247370,13.6,2.5109975166300,13.44,1.8814798293600,12.5,1.2024495150100,10.020,0.7073232441220,9.815,0.44136970433200,9.574,00c ,0.27019747925400,8.743,0.13250522106500,8.177,0.08188769612600,7.476000,3,4.177,0.06844767033370,      null ,0,1.968,hhdd ,0.044669160442100,,,,,,,,,,,,,,,,,,,,
 lkh 341,06 30 50,+10 33 09,        F3e,     null ,4.0563720152000,14.57,3.447549452340,13.36,2.6040001182600,12.2,1.9511662857900,     null ,1.2469859721200,11.386,0.7335211600720,0.640,0.45771720388500,9.725,000,0.28020508314800,8.171,0.13741296398700,7.256,0.08492066160300,1.415000,3,3.712,0.07098284266020,2.047000,3,1.58,hhhd ,0.046323621709300,,,,,,,,,,,,,,,,,,,,
 lkh 350,22 49 07,+62 11 08,        B8e,     null ,10.2375085697000,16,8.700956650530,13.97,6.5719991722100,13,4.9243712107300,     null ,3.1471545331700,9.374,1.8512673724500,8.439,1.15519084041000,8.071,000,0.70718413627700,7.780,0.34680408777200,7.624,0.21432353779300,      null|, null,7.34,0.17914714363200,      null|,null,6.926,0000,0.116911977612000,,,,,,,,,,,,,,,,,,,,
 HBC 1,00 07 02,+65 38 38,        F4?,     null ,3.5251843343600,17.35,2.996087951450,16.23,2.2630026016200,13.4,1.6956582874100,     null ,1.0836913866900,9.578,0.6374655215840,8.869,0.39777848546800,8.316,000,0.24351182924500,7.777,0.11941854104300,7.432,0.07380018026570,0.123500,3,6.748,0.06168753852370,      null ,0,6.391,hh00 ,0.040257477605300,,,,,,,,,,,,,,,,,,,,
 mwc 137,06 18 45,+15 16 52,        B0e,12.89,7.8712925893200,13.28,6.689887010820,11.95,5.0529997634900,     null ,3.7861913720800,     null ,2.4197463656100,13.740,1.4233802150700,2.723,0.88818925420200,2.476,00c ,0.54373124215600,5.507,0.26664656028900,4.306,0.16478650672400,3.402000,3,1.985,0.13774050341200,7.517000,3,-0.225,hh0h ,0.089889876694000,,,,,,,,,,,,,,,,,,,,
 mwc 297,18 27 39,-03 49 52,      B1:Ve,15.57,11.0584409640000,14.34,9.398674960390,12.31,7.0989991722100,11.34,5.3192500839700,     null ,3.3995207303500,13.998,1.9997180766800,3.401,1.24782407985000,9.304,cc0 ,0.76389230529100,4.737,0.37461385303100,3.655,0.23150986138500,      null ,0,1.839,0.19351271828000,20.400000,3,-0.385,hhhd ,0.126286995866000,,,,,,,,,,,,,,,,,,,,
 mwc 342,20 23 03,+39 29 50,       B[e],11.62,5.0221728057600,11.5,4.268392800560,10.6,3.2239988174400,     null ,2.4157286913800,     null ,1.5438867576500,6.127,0.9081686809700,4.387,0.56669725692500,3.041,0d0 ,0.34692043613100,-1.163,0.17013026623500,-1.865,0.10513982340700,      null ,0,-2.022,0.08788348325750,218.300003,3,-4.721,HHHH ,0.057353031808100,,,,,,,,,,,,,,,,,,,,
 mwc 930,18 26 25,-07 13 17,      B5/9e,     null ,99.9900000000000,14.28,99.990000000000,     null ,99.9900000000000,10.6,99.9900000000000,     null ,99.9900000000000,6.979,99.9900000000000,5.800,99.99000000000000,4.679,000,99.99000000000000,2.100,99.99000000000000,0.246,99.99000000000000,46.570000,3,-0.241,99.99000000000000,44.919998,3,-1.817,HHHH ,99.990000000000000,,,,,,,,,,,,,,,,,,,,
