# CVSO    ID_SIMBAD                                                    typ   RA_J2000      DEC_J2000     RA           DEC          LR_INST   SpN    SpT    WHa      WLiI    W8183    W8195    EW_NaI   HR_INST   FILT    Ha_Hi     WHa_Hi    WHa10    LiI_Hi   WLiI_Hi   Vrad     Vr_err   R        V        errV     Nv    Rc       errRc    Nr   Ic       errIc    Ni    AmpV     AmpR     AmpI     Vstd     Rstd     Istd     Vprob      Rprob      Iprob      Lvr      Lvi      Lri      SDSS_u     SDSS_u_err   SDSS_g     SDSS_g_err    SDSS_r     SDSS_r_err    SDSS_i     SDSS_i_err    SDSS_z     SDSS_z_err    Sep_SDSS               J        errJ    H        errH    Ks       errKs   ph_qual   cc_flg   Sep_2MASS   ID_VISTA   ra_vista        dec_vista          magZ      emagZ        magY      emagY        magJ      emagJ        magH      emagH        magK      emagK        Sep_VISTA              ra_irac      dec_irac      RAJ2000_mips   DECJ2000_mips   m36       err36        m45       err45        m58       err58        m8        err8         mag24    m24_err   flux24    errflux24   Sep_IRAC              Sep_MIPS               ID_WISE                ra_wise             dec_wise              sigra_wise   sigdec_wise   pmra_cone   sigpmra   pmdec   sigpmdec   mjdmean        w1mpro   w1sigmpro   w1snr   w2mpro   w2sigmpro   w2snr   w3mpro   w3sigmpro   w3snr   w4mpro   w4sigmpro   w4snr   ph_qual_cone   ext_flg   var_flg   Sep_WISE               UCAC4        RAJ2000      e_RAJ2000   DEJ2000      e_DEJ2000   pmRA    e_pmRA   pmDE    e_pmDE   Bmag     e_Bmag   Vmag     e_Vmag   gmag     e_gmag   rmag     e_rmag   imag     e_imag   Sep_UCAC4              ID_PACS      X70        Y70        FLUX70    errf70   mag70    merr70   X160       Y160       FLUX160   errf160   mag160   merr160   Sep_PACS                Binarity   Bin_Obs    Bin_ObsDate                        Bin-Sep   T_CB   Loc      d    
  10      2MASS_J05215424+0155020                                      TT*   05:21:54.26   +01:55:02.0   80.4760668   1.9172276    FAST      68.0   M0     -5.6     0.5     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.428   0.014    121   14.517   0.015    73   13.425   0.013    79    0.351    0.361    0.215    0.083    0.087    0.046    0.0        0.0        0.0        4.802    2.992    3.527    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.311   0.024   11.63    0.022   11.388   0.023   AAA       000      0.211958    3740562    80.4760260124   1.91721681305      13.1348   7.17199E-4   12.7958   7.51905E-4   12.1545   8.8191E-4    11.5377   8.55548E-4   11.4793   0.00184818   0.15180413063990164    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801p015_ac51-044396   80.4760427          1.9171912             0.04         0.0366        -9          47        26      48         55351.333512   11.339   0.023       47.1    11.221   0.021       52.2    10.955   0.115       9.4     8.947    ""          0.5     AABU           0         110n      0.15713164603073004    460-009964   80.4760268   38          1.9171887    35          2.6     3.8      -0.4    3.7      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.20080834795090696    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  11      2MASS_J05215832+0112140                                      TT*   05:21:58.31   +01:12:14.1   80.4929683   1.2039043    FAST      70.0   M2     -4.3     0.4     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.85    0.015    52    14.733   0.014    52   13.52    0.025    0     0.173    0.257    0.0      0.039    0.042    0.0      2.7E-11    4.29E-17   -999.0     0.038    2.205    1.636    19.43423   0.02844223   16.86507   0.03724291    15.30377   0.01522863    14.30252   0.01020135    13.84781   0.01517414    0.24236526672513203    12.097   0.026   11.444   0.032   11.215   0.024   AAA       000      0.135428    3502932    80.4930121464   1.20389792285      13.2314   7.57777E-4   12.8829   7.65733E-4   12.1524   0.00128442   11.5823   0.00129399   11.2946   0.00164599   0.1594733428139468     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801p015_ac51-019860   80.493032           1.2039115             0.0388       0.0362        4           49        55      48         55355.744864   10.99    0.024       45.9    10.842   0.02        54.2    10.85    0.11        9.8     8.59     ""          1.1     AABU           0         000n      0.23072991610726376    457-009884   80.4929474   42          1.2038495    43          3.3     5.3      6.4     5.5      17.364   0.03     15.834   0.08     16.527   0.01     15.211   0.02     14.121   0.06     0.21113492625215       ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  12      2MASS_J05220790-0110059                                      TT*   05:22:07.90   -01:10:06.0   80.5329155   -1.1683225   FAST      67.0   K7     -2.7     0.3     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   14.716   0.015    48    13.899   0.016    25   -999.0   -999.0   0     0.189    0.687    0.0      0.041    0.127    0.0      2.12E-21   5.29E-12   -999.0     1.914    3.723    1.776    18.17184   0.02163643   15.52204   0.01625214    14.16292   0.009747076   13.41913   6.72796E-4    12.91241   0.01488056    0.16324588556697492    11.551   0.024   10.869   0.027   10.639   0.021   AAA       000      0.131976    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801m016_ac51-041054   80.5329426          -1.1682987            0.0397       0.0364        12          40        25      42         55359.316882   10.508   0.023       47.5    10.424   0.021       51.6    10.265   0.088       12.3    8.908    ""          0.3     AAAU           0         000n      0.12982703530436435    445-009582   80.5329515   49          -1.16831     48          -4.8    6.6      17.1    6.0      16.149   0.13     14.789   0.07     15.483   0.07     14.212   0.07     13.45    0.06     0.13716478140634683    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  14      2MASS_J05225160-0050322                                      TT*   05:22:51.60   -00:50:32.3   80.7150198   -0.8422959   FAST      70.0   M2     -4.2     0.5     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.005   0.008    62    15.238   0.013    56   13.735   0.036    15    0.407    0.262    0.0      0.079    0.064    0.0      0.0        0.0        -999.0     0.312    5.372    6.692    19.47795   0.03092018   16.74341   0.01174014    15.3327    0.01103984    14.39413   0.01244702    13.90558   0.01673658    0.023379891788354052   12.48    0.028   11.876   0.024   11.632   0.024   AAA       000      0.03172     3306974    80.7149844813   -0.842252210249    13.8646   0.00103      13.2965   9.33881E-4   12.626    0.00166432   11.9388   0.00153148   11.707    0.00209833   0.2022397643635862     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801m016_ac51-045827   80.715011           -0.8422808            0.0412       0.0379        47          52        29      52         55356.393032   11.555   0.023       46.5    11.467   0.021       50.6    11.36    0.166       6.5     8.863    ""          0.2     AABU           0         00nn      0.06291593692850395    446-009764   80.715018    65          -0.8423134   64          -2.1    5.3      -3.2    5.5      17.707   0.2      16.067   0.02     16.801   0.05     15.431   0.03     14.443   0.06     0.06333230870239535    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  15      2MASS_J05225965+0120089                                      TT*   05:22:59.65   +01:20:09.1   80.7485607   1.3358627    HSP       69.0   M1     -3.1     0.5     0.926    0.958    1.884    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.905   0.009    57    14.927   0.015    48   13.362   0.038    21    0.316    0.291    0.0      0.074    0.068    0.0      0.0        0.0        -999.0     4.261    3.926    5.396    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.57    0.024   11.832   0.023   11.642   0.03    AAA       000      0.12141     3503098    80.7485566189   1.33582992026      13.4892   8.53502E-4   13.2615   9.15051E-4   12.4901   0.00150181   11.9827   0.00156004   11.6617   0.00195905   0.11891763338747179    80.7486115   1.3357942     ""             ""              11.47     0.003        999.0     999.0        11.457    0.012        999.0     999.0        ""       ""        ""        ""          ""                    0.3069828625573414     0801p015_ac51-022283   80.7485712          1.3358201             0.0406       0.0383        61          47        -50     49         55359.233939   11.52    0.023       46.3    11.497   0.022       50.0    11.527   0.209       5.2     8.878    ""          -0.2    AABU           0         11nn      0.1579473109861744     457-009991   80.7485474   61          1.335837     44          3.3     5.1      -1.5    5.2      17.198   0.01     15.769   0.01     16.65    0.01     15.038   0.01     14.306   0.05     0.10416908779013452    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  16      2MASS_J05230324-0129167                                      TT*   05:23:03.24   -01:29:16.8   80.763498    -1.4880095   FAST      67.0   K7     -2.244   0.867   -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.198   0.009    40    14.34    0.014    54   13.457   0.037    5     0.207    0.203    0.0      0.05     0.045    0.0      5.07E-34   0.0        -999.0     1.944    2.274    1.454    18.66294   0.02061714   16.03263   0.01814583    14.67308   0.01205142    14.04275   0.01198607    13.59881   0.01610152    0.04528264804631422    12.316   0.024   11.635   0.023   11.437   0.021   AAA       000      0.049785    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801m016_ac51-022788   80.7635127          -1.4879956            0.0407       0.0385        -15         47        23      49         55355.195703   11.351   0.023       47.0    11.322   0.022       49.9    10.993   0.151       7.2     8.907    ""          0.1     AABU           0         01nn      0.07281922521915256    443-009643   80.7635074   27          -1.4880039   26          -1.4    5.2      0.8     5.3      16.614   0.05     15.237   0.03     16.018   0.1      14.706   0.04     14.009   0.03     0.03938018542690943    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  17      2MASS_J05230470+0137148                                      TT*   05:23:04.72   +01:37:15.3   80.769675    1.6209162    HSP       71.0   M3     -7.2     0.3     0.969    1.101    2.07     ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.132   0.009    85    15.119   0.015    44   13.744   0.014    61    0.363    0.138    0.109    0.057    0.03     0.025    7.35E-39   3.4E-6     1.83E-4    1.841    1.884    1.732    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.52    0.028   11.805   0.023   11.601   0.025   AAA       000      0.524665    3740717    80.769578804    1.62081024534      13.4367   8.46819E-4   12.9457   7.93708E-4   12.4814   0.00108412   11.6441   8.57642E-4   11.6394   0.00199506   0.5150976911491323     80.7695345   1.6207498     ""             ""              11.525    0.003        11.384    0.004        11.414    0.011        11.341    0.016        ""       ""        ""        ""          ""                    0.7838863965721762     0801p015_ac51-024814   80.7695335          1.620803              0.0405       0.0379        84          57        7       54         55351.685039   11.512   0.023       46.4    11.398   0.021       52.8    11.13    0.143       7.6     8.932    ""          -0.9    AABU           0         nnnn      0.652191153563504      459-010082   80.769545    110         1.620827     60          0.8     5.6      2.3     5.3      17.417   0.16     16.129   0.01     17.063   0.21     15.532   0.06     14.44    0.1      0.5674211985913292     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  18      2MASS_J05232286-0133286                                      TT*   05:23:22.86   -01:33:28.6   80.8452685   -1.557957    FAST      67.0   K7     -2.774   0.526   -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.38    0.006    42    14.4     0.014    52   13.337   0.04     4     0.283    0.287    0.0      0.056    0.042    0.0      0.0        5.1E-17    -999.0     0.946    3.43     2.109    18.84255   0.02528254   16.17215   0.01395364    14.77794   0.01923815    14.03228   0.01327048    13.55455   0.01406016    0.06577116597583486    12.15    0.024   11.472   0.024   11.251   0.023   AAA       000      0.035853    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801m016_ac51-022789   80.8452873          -1.5579447            0.0407       0.0382        88          46        66      46         55344.395477   11.206   0.023       46.4    11.143   0.022       50.3    11.045   0.12        9.0     8.539    ""          1.4     AABU           0         000n      0.08085737369891172    443-009681   80.8452839   28          -1.5579575   28          14.3    5.2      -1.0    5.3      16.811   0.17     15.349   0.05     16.148   0.1      14.809   0.02     14.011   0.03     0.05544872957195055    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  19      2MASS_J05233085+0145488                                      TT*   05:23:30.88   +01:45:49.1   80.8786597   1.7636371    FAST      71.0   M3     -4.64    0.25    -999.0   -999.0   -999.0   HCH       OB25    6563.12   -4.344    156.1    -999.0   -999.0    19.09    1.54     9.9      15.9     0.058    108   14.827   0.015    69   13.281   0.015    67    0.521    0.116    0.465    0.075    0.025    0.075    4.87E-17   6.39E-4    7.36E-22   0.778    0.356    0.617    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     11.916   0.027   11.231   0.024   11.016   0.024   AAA       000      0.405398    3740429    80.878570592    1.76354375227      12.8688   6.00869E-4   12.3563   5.50588E-4   11.7355   6.65094E-4   11.6566   9.71391E-4   11.1147   0.00155458   0.464476931290943      80.8786269   1.7636216     ""             ""              10.789    0.002        10.803    0.003        10.788    0.008        10.754    0.009        ""       ""        ""        ""          ""                    0.1305500669964994     0801p015_ac51-046863   80.8785972          1.7635468             0.0406       0.0382        -7          44        27      46         55336.20808    10.915   0.023       46.4    10.79    0.021       50.5    10.593   0.092       11.8    8.424    ""          1.0     AAAU           0         111n      0.3952898398242977     459-010133   80.8786089   60          1.7635639    68          2.7     5.4      4.8     5.6      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.32071203176791263    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  20      2MASS_J05233550+0135409                                      TT*   05:23:35.51   +01:35:41.1   80.8979585   1.5947589    HSP       69.0   M1     -3.3     0.6     0.838    1.021    1.859    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.76    0.013    81    14.905   0.015    49   13.666   0.014    65    0.128    0.128    0.212    0.035    0.032    0.035    5.32E-18   3.66E-10   4.43E-10   0.387    1.581    1.333    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.495   0.03    11.798   0.022   11.638   0.026   AAA       000      0.179387    3740733    80.897905521    1.5947200082       13.4075   8.35485E-4   13.0666   8.60943E-4   12.5075   0.0010973    11.9954   0.00113698   11.6791   0.0020334    0.2365387033198861     80.8979845   1.5946947     ""             ""              11.454    0.003        11.495    0.004        11.448    0.012        11.443    0.017        ""       ""        ""        ""          ""                    0.24934038811074377    0801p015_ac51-024811   80.8979237          1.5947205             0.0411       0.0384        20          50        109     51         55342.495954   11.541   0.023       47.3    11.448   0.022       50.4    11.383   0.179       6.1     9.082    ""          -0.4    AABU           0         21nn      0.18652940822102973    458-010373   80.8979377   46          1.5947084    41          8.4     5.2      -0.7    5.4      17.3     0.18     15.83    0.05     16.494   0.07     15.375   0.05     14.343   0.06     0.19660598106813507    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  198     2MASS_J05234655+0145158                                      TT*   05:23:46.57   +01:45:16.0   80.9440249   1.75445      FAST      64.0   K4     -0.1     0.5     -999.0   -999.0   -999.0   HCH       OB25    6563.19   0.134     -999.0   -999.0   -999.0    19.09    0.5      17.8     13.951   0.027    91    -999.0   -999.0   0    12.702   0.038    9     0.201    0.0      0.0      0.039    0.0      0.0      0.0        9.0        -999.0     2.1      2.1      0.0      ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     11.68    0.026   11.074   0.024   10.94    0.024   AAA       000      0.217165    3740337    80.9440040545   1.75437935978      12.392    4.623E-4     12.0834   4.79413E-4   11.5413   6.26904E-4   10.9808   5.85464E-4   11.0121   0.00148119   0.2651362303149836     80.9439368   1.7544126     ""             ""              10.805    0.002        10.89     0.003        10.861    0.008        10.842    0.01         ""       ""        ""        ""          ""                    0.3444185083807007     0816p015_ac51-036949   80.9440008          1.7543825             0.0403       0.0374        -9          51        26      65         55344.419311   10.866   0.023       47.9    10.877   0.022       50.5    10.776   0.098       11.1    8.484    ""          1.1     AAAU           0         011n      0.2580101590528266     459-010159   80.9440003   20          1.7543864    19          -0.3    5.6      -1.4    5.8      15.191   0.13     14.011   0.03     14.641   0.11     13.562   0.01     13.136   0.02     0.24547546510066018    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      YES        NACO       2010-12-23                         0.28      W      25Ori    354  
  21      2MASS_J05234760-0207482                                      TT*   05:23:47.64   -02:07:47.0   80.9485074   -2.1297102   FAST      66.0   K6     -2.6     0.3     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   14.424   0.015    51    -999.0   -999.0   0    -999.0   -999.0   0     0.245    0.0      0.0      0.054    0.0      0.0      0.0        9.0        -999.0     4.199    4.199    0.0      ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     11.518   0.023   10.88    0.023   10.682   0.022   AAA       000      1.409355    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816m016_ac51-009086   80.9483631          -2.1300835            0.0393       0.0357        -55         40        4       40         55357.006492   10.611   0.023       47.6    10.552   0.021       52.3    10.421   0.085       12.8    8.314    ""          1.3     AAAU           0         320n      1.4406596342550115     440-009835   80.9483542   17          -2.1301098   17          1.3     3.0      -4.6    3.3      15.861   0.1      14.55    0.15     15.241   0.08     14.018   0.08     13.416   0.05     1.5405223265068813     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  199     2MASS_J05235536+0134172                                      TT*   05:23:55.36   +01:34:18.6   80.9806672   1.5718218    HYD       71.0   M3     -4.4     0.3     -999.0   -999.0   -999.0   HCH       OB25    6563.12   -5.902    115.4    -999.0   -999.0    19.41    1.38     5.8      16.817   0.031    72    -999.0   -999.0   0    14.351   0.015    53    0.276    0.0      0.113    0.043    0.0      0.019    0.0075     9.0        0.437      1.864    1.21     0.0      ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.065   0.027   12.386   0.023   12.204   0.024   AAA       000      1.298995    3741129    80.9806661136   1.57144397033      13.9968   0.00109732   13.52     0.00106904   13.0353   0.00140145   12.4639   0.00141471   12.2274   0.00265314   1.3601924306011675     80.9807353   1.5714356     ""             ""              11.981    0.004        11.952    0.005        11.915    0.016        11.982    0.021        ""       ""        ""        ""          ""                    1.4117534901441389     0816p015_ac51-034589   80.9806484          1.5714445             0.0424       0.0514        17          57        -106    65         55341.51993    12.073   0.025       43.3    11.938   0.026       42.1    12.3     0.464       2.3     8.255    ""          0.7     AACU           0         nnnn      1.3599638580383295     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  22      2MASS_J05240156+0137047                                      TT*   05:24:01.58   +01:37:04.9   81.0065642   1.6180271    FAST      70.0   M2     -6.5     0.5     -999.0   -999.0   -999.0   HCH       OB25    6562.94   -3.739    229.5    -999.0   -999.0    10.65    9.52     4.2      16.248   0.017    85    15.254   0.016    24   13.935   0.015    51    0.262    0.198    0.104    0.055    0.056    0.031    0.0        5.5E-26    2.46E-9    3.08     2.357    2.303    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.695   0.023   12.039   0.027   11.817   0.024   AAA       000      0.197555    3740836    81.0065326149   1.61800569897      13.6261   9.24306E-4   13.1888   9.12418E-4   12.674    0.00118526   11.9429   0.00103445   11.8604   0.0022188    0.13731191223338043    81.0066516   1.6180696     ""             ""              11.646    0.003        11.64     0.004        11.624    0.012        11.572    0.016        ""       ""        ""        ""          ""                    0.34975476858879495    0816p015_ac51-034573   81.0065411          1.6179839             0.0412       0.0389        -8          54        26      55         55348.446807   11.714   0.023       46.7    11.637   0.022       50.4    11.584   0.25        4.3     8.983    ""          -0.1    AABU           0         00nn      0.17634211771744332    459-010187   81.0065692   74          1.6180089    94          1.1     5.3      -0.1    5.6      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.0679456553802005     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
